Date,,2016_11_15,,,,2016_11_15,,,,2016_11_15,,,,2016_11_16,,,,2016_11_16,,,,2016_11_16,,,,2016_11_17,,,,2016_11_17,,,,2016_11_17,,,,2016_11_18,,,,2016_11_18,,,
Time (EST),,8:30:00,,,,11:30:00,,,,14:30:00,,,,8:30:00,,,,11:30:00,,,,14:30:00,,,,8:30:00,,,,11:30:00,,,,14:30:00,,,,8:30:00,,,,11:30:00,,,
Scientific_name,Common_name,Site_36,Site_42,Site_43,Site_44,Site_6,Site_25,Site_33,Site_34,Site_1,Site_25,Site_29,Site_30,Site_36,Site_42,Site_43,Site_44,Site_6,Site_25,Site_33,Site_34,Site_1,Site_25,Site_29,Site_30,Site_36,Site_42,Site_43,Site_44,Site_6,Site_25,Site_33,Site_34,Site_1,Site_25,Site_29,Site_30,Site_36,Site_42,Site_43,Site_44,Site_6,Site_25,Site_33,Site_34
Amphipoda,Scuds,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0
Anisoptera,Dragonflies,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bivalvia,Clams_Mussels,0,0,6,0,2,0,0,7,0,0,0,0,0,0,8,0,2,0,0,0,8,0,0,0,0,0,0,N/A,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
Ceratopogondia,No-See-Ums,0,0,0,0,5,0,0,0,0,0,1,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,N/A,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Chironomidae,Midges,0,2,0,17,8,11,8,3,0,1,4,5,7,16,2,4,5,3,11,2,0,21,1,4,3,12,2,N/A,5,28,9,4,3,12,6,3,0,10,3,13,22,4,2,3
Coelenterata,Hydras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coleoptera,Beetles,1,1,2,0,0,0,0,2,0,1,0,0,2,0,8,0,0,1,1,2,0,0,0,4,0,0,1,N/A,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,3
Culicidae,Mosquitos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
